G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD 

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:38:18 PM.87	59	14	32	40	145	192	7.16	198	5.7	3.04	0.472	0
1/24/2018 4:38:18 PM.37	59	14	31	40	145	192	7.29	199	5.8	3.03	0.475	0
1/24/2018 4:38:17 PM.87	59	14	31	40	145	192	7.21	194	5.7	3.03	0.477	0
1/24/2018 4:38:17 PM.37	59	14	31	40	145	192	7.19	199	5.7	3.04	0.473	0
1/24/2018 4:38:16 PM.87	59	14	31	40	145	192	7.25	196	5.8	3.05	0.472	0
1/24/2018 4:38:16 PM.37	59	14	32	40	145	192	7.15	193	5.7	3.05	0.473	0
1/24/2018 4:38:15 PM.87	59	14	31	40	145	192	7.32	192	5.7	3.05	0.472	0
1/24/2018 4:38:15 PM.37	59	14	31	40	145	192	7.32	193	5.8	3.06	0.472	0
1/24/2018 4:38:14 PM.87	59	13	32	40	145	192	7.27	196	5.8	3.04	0.473	0
1/24/2018 4:38:14 PM.37	59	14	31	40	145	192	7.21	195	5.7	3.03	0.473	0
1/24/2018 4:38:13 PM.87	59	14	31	40	145	192	7.22	193	5.7	3.03	0.473	0
1/24/2018 4:38:13 PM.37	59	14	31	40	145	191	7.24	194	5.8	3.04	0.473	0
1/24/2018 4:38:12 PM.87	59	14	31	40	145	191	7.13	196	5.8	3.04	0.475	0
1/24/2018 4:38:12 PM.37	59	14	32	40	145	191	7.27	190	5.8	3.03	0.473	0
1/24/2018 4:38:11 PM.87	59	14	32	40	145	191	7.21	192	5.7	3.04	0.476	0
1/24/2018 4:38:11 PM.37	59	14	32	40	145	191	7.06	193	5.7	3.04	0.476	0
1/24/2018 4:38:10 PM.87	59	14	32	40	145	192	7.18	200	5.8	3.04	0.473	0
1/24/2018 4:38:10 PM.37	59	14	32	40	145	191	7.19	196	5.7	3.04	0.472	0
1/24/2018 4:38:09 PM.87	59	14	32	40	145	191	7.28	198	5.7	3.04	0.473	0
1/24/2018 4:38:09 PM.37	59	14	31	40	145	191	7.19	196	5.7	3.02	0.473	0
1/24/2018 4:38:08 PM.87	59	14	31	40	145	191	7.24	195	5.7	3.04	0.472	0
1/24/2018 4:38:08 PM.37	59	14	31	40	145	191	7.19	194	5.7	3.03	0.474	0
1/24/2018 4:38:07 PM.87	59	14	32	40	145	191	7.08	195	5.7	3.02	0.475	0
1/24/2018 4:38:07 PM.37	59	14	31	40	145	191	7.27	194	5.7	3.02	0.472	0
1/24/2018 4:38:06 PM.87	59	14	31	40	145	191	7.12	195	5.7	3.02	0.473	1
1/24/2018 4:38:06 PM.37	59	14	31	40	144	191	7.22	197	5.7	3.03	0.471	0
1/24/2018 4:38:05 PM.87	59	14	31	40	144	191	7.28	197	5.8	3.03	0.471	0
1/24/2018 4:38:05 PM.37	59	14	31	40	144	191	7.34	196	5.7	3.00	0.470	0
1/24/2018 4:38:04 PM.87	59	14	31	39	144	191	7.19	195	5.7	2.99	0.470	0
1/24/2018 4:38:04 PM.37	59	14	31	40	144	191	6.93	195	5.7	3.02	0.468	0
1/24/2018 4:38:03 PM.87	59	14	32	40	144	191	7.25	196	5.8	3.00	0.469	0
1/24/2018 4:38:03 PM.37	59	14	31	40	144	191	7.31	195	5.8	2.99	0.470	0
1/24/2018 4:38:02 PM.87	59	14	31	40	144	191	7.24	197	5.7	3.00	0.470	0
1/24/2018 4:38:02 PM.37	59	14	31	40	144	191	7.19	193	5.8	3.01	0.470	0
1/24/2018 4:38:01 PM.87	59	14	31	40	144	191	7.34	194	5.7	3.03	0.472	0
1/24/2018 4:38:01 PM.37	59	13	31	40	144	191	7.18	198	5.7	3.02	0.473	1
1/24/2018 4:38:00 PM.87	59	14	31	40	144	191	7.16	198	5.7	3.02	0.473	0
1/24/2018 4:38:00 PM.37	59	14	31	40	144	191	7.15	200	5.8	3.02	0.471	0
1/24/2018 4:37:59 PM.87	59	14	31	40	144	191	7.29	195	5.7	3.04	0.473	0
1/24/2018 4:37:59 PM.37	59	14	31	40	144	190	7.18	197	5.7	3.02	0.472	0
1/24/2018 4:37:58 PM.87	59	14	31	40	144	191	7.12	198	5.7	3.02	0.468	0
1/24/2018 4:37:58 PM.37	59	14	31	40	144	191	7.13	197	5.7	3.03	0.470	0
