G.U.N.T. Geraetebau GmbH
ET850

1/24/2018

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:00:37 PM.89	60	13	27	40	134	135	8.20	234	5.3	2.97	0.517	0
1/24/2018 4:00:37 PM.38	59	13	27	40	135	135	8.23	226	5.4	2.97	0.517	0
1/24/2018 4:00:36 PM.89	59	13	27	40	135	135	8.17	229	5.4	2.97	0.514	1
1/24/2018 4:00:36 PM.39	59	14	27	40	135	135	8.19	235	5.4	2.97	0.515	0
1/24/2018 4:00:35 PM.89	59	13	27	39	135	135	8.17	236	5.4	2.97	0.517	0
1/24/2018 4:00:35 PM.39	59	13	27	40	135	135	8.17	234	5.4	2.95	0.518	0
1/24/2018 4:00:34 PM.89	59	14	27	40	135	135	8.20	237	5.3	2.95	0.517	0
1/24/2018 4:00:34 PM.39	59	14	27	39	135	135	8.28	237	5.3	2.96	0.517	0
1/24/2018 4:00:33 PM.89	59	14	27	40	135	135	8.19	234	5.3	2.96	0.517	0
1/24/2018 4:00:33 PM.38	59	14	27	40	135	135	8.20	238	5.4	2.97	0.516	1
1/24/2018 4:00:32 PM.89	59	13	27	40	135	135	8.26	239	5.4	2.97	0.515	0
1/24/2018 4:00:32 PM.38	59	14	27	40	135	135	8.17	236	5.4	2.95	0.516	0
1/24/2018 4:00:31 PM.88	59	13	27	40	135	135	8.17	238	5.4	2.95	0.516	0
1/24/2018 4:00:31 PM.38	59	13	27	40	135	135	8.17	236	5.3	2.96	0.516	0
1/24/2018 4:00:30 PM.88	59	14	27	40	135	135	8.12	237	5.4	2.95	0.518	0
1/24/2018 4:00:30 PM.38	59	14	27	40	135	135	8.23	238	5.3	2.96	0.520	0
1/24/2018 4:00:29 PM.89	59	14	26	40	135	135	8.28	238	5.3	2.96	0.516	0
1/24/2018 4:00:29 PM.38	59	14	26	39	135	135	8.14	233	5.4	2.95	0.516	0
1/24/2018 4:00:28 PM.89	59	14	27	40	135	135	8.28	236	5.3	2.95	0.515	0
1/24/2018 4:00:28 PM.39	58	14	27	40	135	135	8.28	237	5.3	2.96	0.517	0
1/24/2018 4:00:27 PM.89	58	14	27	40	135	135	8.19	233	5.4	2.95	0.518	0
1/24/2018 4:00:27 PM.38	59	14	27	40	134	135	8.25	235	5.3	2.98	0.517	0
1/24/2018 4:00:26 PM.89	58	14	27	39	135	135	8.29	236	5.4	2.97	0.517	0
1/24/2018 4:00:26 PM.38	59	14	26	40	134	135	8.10	238	5.3	2.96	0.519	0
1/24/2018 4:00:25 PM.88	59	14	27	40	135	135	8.16	238	5.3	2.95	0.520	0
1/24/2018 4:00:25 PM.39	59	14	26	40	135	135	8.19	236	5.3	2.95	0.519	0
1/24/2018 4:00:24 PM.88	59	14	26	40	135	135	8.17	236	5.3	2.95	0.520	0
1/24/2018 4:00:24 PM.38	59	13	26	40	135	135	8.28	235	5.4	2.95	0.518	0
1/24/2018 4:00:23 PM.89	59	14	27	40	135	135	8.16	239	5.3	2.95	0.517	0
1/24/2018 4:00:23 PM.38	59	14	26	40	135	135	8.12	240	5.3	2.95	0.516	0
1/24/2018 4:00:22 PM.89	59	13	26	39	135	135	8.17	238	5.3	2.95	0.519	0
1/24/2018 4:00:22 PM.39	59	14	27	40	134	135	8.16	240	5.3	2.95	0.517	0
1/24/2018 4:00:21 PM.88	59	14	27	40	135	135	8.20	240	5.4	2.95	0.516	0
1/24/2018 4:00:21 PM.39	59	14	27	40	134	135	8.19	239	5.4	2.95	0.517	0
1/24/2018 4:00:20 PM.89	59	14	27	40	135	135	8.22	241	5.3	2.95	0.514	0
1/24/2018 4:00:20 PM.38	59	14	27	40	134	135	8.16	240	5.3	2.95	0.516	0
1/24/2018 4:00:19 PM.89	59	14	27	40	135	135	8.17	238	5.4	2.95	0.516	1
1/24/2018 4:00:19 PM.38	59	13	27	40	134	135	8.17	235	5.4	2.95	0.517	0
1/24/2018 4:00:18 PM.88	59	14	27	40	134	135	8.26	235	5.4	2.95	0.517	0
1/24/2018 4:00:18 PM.39	59	14	27	40	135	135	8.01	233	5.4	2.95	0.517	0
1/24/2018 4:00:17 PM.88	58	13	26	40	135	135	8.16	233	5.4	2.95	0.520	0
1/24/2018 4:00:17 PM.38	59	13	27	40	135	135	8.28	235	5.4	2.95	0.519	0
1/24/2018 4:00:16 PM.89	59	14	27	40	135	135	8.31	238	5.4	2.96	0.518	0
1/24/2018 4:00:16 PM.38	59	14	27	40	135	135	8.16	240	5.4	2.95	0.515	0
1/24/2018 4:00:15 PM.88	59	14	27	40	135	135	8.25	238	5.4	2.95	0.516	0
