G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD Superheater experiment

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:50:31 PM.37	76	14	33	40	215	147	7.92	198	5.8	4.14	0.480	361
1/24/2018 4:50:30 PM.87	76	14	33	40	215	147	7.94	191	5.7	4.15	0.480	344
1/24/2018 4:50:30 PM.37	76	13	33	40	215	147	7.97	191	5.7	4.16	0.481	324
1/24/2018 4:50:29 PM.87	76	14	33	40	215	147	7.88	192	5.8	4.16	0.483	304
1/24/2018 4:50:29 PM.37	75	14	33	40	215	147	7.87	192	5.7	4.14	0.479	287
1/24/2018 4:50:28 PM.87	76	14	33	40	215	148	7.92	195	5.7	4.16	0.480	271
1/24/2018 4:50:28 PM.37	76	14	33	40	215	147	7.87	196	5.7	4.16	0.479	250
1/24/2018 4:50:27 PM.87	76	14	33	40	215	147	7.85	196	5.7	4.16	0.483	229
1/24/2018 4:50:27 PM.37	76	13	33	40	215	147	7.94	193	5.7	4.13	0.477	207
1/24/2018 4:50:26 PM.87	76	14	33	40	215	148	7.84	195	5.7	4.14	0.478	187
1/24/2018 4:50:26 PM.37	76	14	33	40	215	148	7.87	195	5.7	4.13	0.479	169
1/24/2018 4:50:25 PM.87	76	14	33	40	215	147	7.81	189	5.7	4.14	0.480	156
1/24/2018 4:50:25 PM.37	76	13	33	40	216	147	7.90	188	5.8	4.15	0.483	145
1/24/2018 4:50:24 PM.87	76	14	33	40	216	148	7.88	188	5.7	4.15	0.480	134
1/24/2018 4:50:24 PM.37	76	14	33	40	216	148	7.88	191	5.7	4.14	0.480	126
1/24/2018 4:50:23 PM.87	76	13	33	40	216	148	7.87	192	5.8	4.15	0.480	123
1/24/2018 4:50:23 PM.37	76	14	33	40	216	148	7.85	191	5.8	4.16	0.480	122
1/24/2018 4:50:22 PM.87	76	14	33	40	216	148	7.91	192	5.7	4.16	0.477	126
1/24/2018 4:50:22 PM.37	76	13	33	40	216	148	7.97	197	5.7	4.13	0.480	134
1/24/2018 4:50:21 PM.87	76	14	33	40	216	147	7.90	194	5.8	4.14	0.479	155
1/24/2018 4:50:21 PM.37	76	13	33	40	215	147	8.00	194	5.8	4.15	0.479	172
1/24/2018 4:50:20 PM.87	76	14	33	40	215	148	7.84	193	5.7	4.14	0.479	189
1/24/2018 4:50:20 PM.37	76	14	33	40	215	148	7.81	196	5.7	4.14	0.477	210
1/24/2018 4:50:19 PM.87	76	13	33	40	215	148	7.91	192	5.7	4.14	0.480	233
1/24/2018 4:50:19 PM.37	76	14	33	40	215	148	8.01	190	5.8	4.14	0.479	257
1/24/2018 4:50:18 PM.87	76	14	33	40	215	148	7.88	190	5.8	4.13	0.480	297
1/24/2018 4:50:18 PM.37	75	14	33	40	215	148	7.88	191	5.7	4.13	0.480	326
1/24/2018 4:50:17 PM.87	76	14	33	40	214	148	7.90	191	5.7	4.14	0.479	355
1/24/2018 4:50:17 PM.37	76	14	33	40	214	148	7.88	192	5.7	4.13	0.477	386
1/24/2018 4:50:16 PM.87	76	14	33	40	214	148	7.94	193	5.8	4.14	0.480	413
1/24/2018 4:50:16 PM.37	76	14	33	40	214	148	7.90	195	5.7	4.14	0.480	439
1/24/2018 4:50:15 PM.87	76	13	33	40	214	148	7.90	195	5.8	4.16	0.478	469
1/24/2018 4:50:15 PM.37	76	14	33	40	213	147	7.87	193	5.8	4.14	0.480	486
1/24/2018 4:50:14 PM.87	76	14	33	40	213	147	7.92	195	5.7	4.13	0.480	505
1/24/2018 4:50:14 PM.37	76	14	33	40	213	147	7.82	198	5.7	4.14	0.481	526
1/24/2018 4:50:13 PM.87	76	14	33	40	213	147	7.87	196	5.8	4.15	0.480	547
1/24/2018 4:50:13 PM.37	76	14	33	40	213	147	7.85	193	5.7	4.13	0.480	578
1/24/2018 4:50:12 PM.87	76	14	33	40	213	147	7.85	197	5.7	4.14	0.480	604
1/24/2018 4:50:12 PM.37	76	14	33	40	213	147	7.88	195	5.7	4.14	0.480	629
1/24/2018 4:50:11 PM.87	76	14	33	40	213	147	7.91	198	5.7	4.14	0.479	650
1/24/2018 4:50:11 PM.37	76	14	33	40	212	147	7.87	196	5.7	4.12	0.479	665
1/24/2018 4:50:10 PM.87	76	13	33	40	212	147	7.90	195	5.7	4.12	0.480	675
1/24/2018 4:50:10 PM.37	76	14	33	40	212	148	7.88	195	5.7	4.12	0.483	685
1/24/2018 4:50:09 PM.87	76	13	33	40	212	147	7.87	195	5.7	4.12	0.480	688
1/24/2018 4:50:09 PM.37	76	14	33	40	212	147	7.98	192	5.7	4.12	0.481	689
1/24/2018 4:50:08 PM.87	76	14	33	40	212	148	7.88	195	5.8	4.12	0.479	692
1/24/2018 4:50:08 PM.37	76	14	33	40	212	148	7.95	192	5.7	4.12	0.480	688
1/24/2018 4:50:07 PM.87	76	14	33	40	212	147	7.90	195	5.8	4.12	0.479	676
1/24/2018 4:50:07 PM.37	76	14	33	40	212	147	7.87	195	5.7	4.12	0.479	665
1/24/2018 4:50:06 PM.87	76	14	33	40	212	147	7.92	192	5.8	4.12	0.481	651
1/24/2018 4:50:06 PM.37	76	13	33	40	212	147	7.88	193	5.7	4.11	0.478	631
1/24/2018 4:50:05 PM.87	76	14	33	40	212	148	7.91	194	5.7	4.12	0.479	610
1/24/2018 4:50:05 PM.37	76	14	33	40	212	148	7.81	195	5.8	4.12	0.480	586
1/24/2018 4:50:04 PM.87	76	13	33	40	213	148	7.88	193	5.8	4.12	0.480	565
1/24/2018 4:50:04 PM.37	76	14	33	40	213	148	7.88	193	5.7	4.12	0.482	541
1/24/2018 4:50:03 PM.87	76	14	33	40	213	148	7.88	196	5.7	4.12	0.481	523
1/24/2018 4:50:03 PM.37	76	14	33	40	213	148	7.92	192	5.7	4.12	0.479	504
1/24/2018 4:50:02 PM.87	76	14	33	40	213	147	7.91	196	5.7	4.13	0.482	483
1/24/2018 4:50:02 PM.37	76	14	33	40	213	147	7.97	195	5.7	4.13	0.480	463
1/24/2018 4:50:01 PM.87	76	14	33	40	213	147	7.84	192	5.7	4.12	0.483	430
1/24/2018 4:50:01 PM.37	76	14	33	40	214	147	7.87	192	5.7	4.13	0.482	408
1/24/2018 4:50:00 PM.87	76	14	33	40	214	147	7.85	189	5.8	4.13	0.482	384
1/24/2018 4:50:00 PM.37	76	14	33	40	214	147	7.79	193	5.8	4.14	0.478	362
1/24/2018 4:49:59 PM.87	76	14	33	40	214	147	7.90	193	5.7	4.13	0.481	343
1/24/2018 4:49:59 PM.37	76	13	33	40	214	147	7.88	198	5.8	4.13	0.482	320
1/24/2018 4:49:58 PM.87	76	14	33	40	214	148	7.90	193	5.7	4.13	0.480	303
1/24/2018 4:49:58 PM.37	76	14	33	40	214	147	7.88	200	5.7	4.12	0.479	286
1/24/2018 4:49:57 PM.87	76	13	33	40	215	147	7.87	200	5.7	4.13	0.480	279
1/24/2018 4:49:57 PM.37	76	14	33	40	215	147	7.87	196	5.7	4.13	0.480	252
1/24/2018 4:49:56 PM.87	76	14	33	40	215	147	8.01	198	5.7	4.15	0.484	236
1/24/2018 4:49:56 PM.37	76	14	33	40	215	147	7.79	195	5.7	4.14	0.483	220
1/24/2018 4:49:55 PM.87	76	14	33	40	215	147	7.91	196	5.7	4.16	0.484	205
1/24/2018 4:49:55 PM.37	76	14	33	40	215	147	7.94	200	5.7	4.15	0.481	188
1/24/2018 4:49:54 PM.87	76	13	33	40	215	147	7.87	191	5.7	4.16	0.480	173
1/24/2018 4:49:54 PM.37	76	14	33	40	215	147	7.88	193	5.7	4.15	0.479	160
1/24/2018 4:49:53 PM.87	76	13	33	40	215	147	7.84	194	5.7	4.14	0.480	156
1/24/2018 4:49:53 PM.37	75	14	33	40	215	147	7.95	193	5.7	4.12	0.479	153
1/24/2018 4:49:52 PM.87	76	13	33	40	215	147	7.87	192	5.7	4.12	0.477	151
1/24/2018 4:49:52 PM.37	76	13	33	40	215	147	7.82	195	5.7	4.12	0.480	150
1/24/2018 4:49:51 PM.87	76	14	33	40	215	148	7.85	193	5.7	4.13	0.480	152
1/24/2018 4:49:51 PM.37	76	14	33	40	215	148	7.88	193	5.7	4.14	0.480	165
1/24/2018 4:49:50 PM.87	76	14	33	40	215	148	7.69	193	5.7	4.14	0.481	172
1/24/2018 4:49:50 PM.37	76	14	33	40	215	148	7.97	197	5.7	4.14	0.480	186
1/24/2018 4:49:49 PM.87	76	13	33	40	214	148	7.98	194	5.7	4.14	0.480	203
1/24/2018 4:49:49 PM.37	76	13	33	40	214	148	7.88	197	5.8	4.14	0.480	222
1/24/2018 4:49:48 PM.87	76	14	33	40	215	148	7.84	192	5.7	4.14	0.480	255
1/24/2018 4:49:48 PM.37	76	14	33	40	214	148	7.82	196	5.7	4.13	0.479	277
1/24/2018 4:49:47 PM.87	76	14	33	40	214	147	7.85	197	5.7	4.12	0.477	297
1/24/2018 4:49:47 PM.37	76	14	33	40	214	147	7.82	194	5.7	4.13	0.481	317
1/24/2018 4:49:46 PM.87	76	13	33	40	214	147	7.79	194	5.8	4.13	0.480	338
1/24/2018 4:49:46 PM.37	75	13	33	40	214	147	7.81	193	5.7	4.12	0.478	358
1/24/2018 4:49:45 PM.87	75	14	33	40	213	147	7.84	193	5.8	4.12	0.480	392
1/24/2018 4:49:45 PM.37	75	14	33	40	213	147	7.84	191	5.8	4.12	0.479	420
1/24/2018 4:49:44 PM.87	75	14	33	40	213	147	7.95	193	5.8	4.11	0.477	447
1/24/2018 4:49:44 PM.37	75	14	33	40	213	147	7.90	197	5.7	4.12	0.479	476
1/24/2018 4:49:43 PM.87	75	14	33	40	213	147	7.91	193	5.7	4.12	0.478	503
1/24/2018 4:49:43 PM.37	75	14	33	40	213	147	7.90	194	5.8	4.12	0.479	528
1/24/2018 4:49:42 PM.87	75	13	33	40	212	147	8.00	194	5.7	4.11	0.478	556
1/24/2018 4:49:42 PM.37	75	14	33	40	212	147	7.91	192	5.8	4.13	0.478	582
1/24/2018 4:49:41 PM.87	75	14	33	40	212	147	7.84	193	5.7	4.14	0.479	605
